split,class,path,ok,error
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000243021.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000168110.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000156796.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000260969.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000189579.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000185626.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000182779.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000171809.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000259884.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000166952.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000249182.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000260757.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000227519.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000164913.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000234739.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000209412.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000157683.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000157423.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000165798.jpg,1,
